Passo,Estado,Taxa Configurada (Mbps),Bytes Transmitidos
1,0,0,0
2,0,0,0
3,1,10,6559000
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,1,10,6557600
10,1,10,6559000
11,1,10,6559000
12,0,0,0
13,0,0,0
14,0,0,0
15,1,10,6559000
16,0,0,0
17,1,10,6557600
18,2,50,32772600
19,2,50,32772600
20,1,10,6559000
21,1,10,6559000
22,1,10,6559000
23,1,10,6559000
24,1,10,6559000
25,2,50,32772600
26,1,10,6559000
27,1,10,6559000
28,1,10,6559000
29,1,10,6559000
30,2,50,32772600
31,2,50,32772600
32,1,10,6559000
33,1,10,6557600
34,1,10,6557600
35,1,10,6559000
36,0,0,0
37,0,0,0
38,2,50,32772600
39,2,50,32772600
40,1,10,6559000
41,1,10,6557600
42,2,50,32772600
43,1,10,6559000
44,1,10,6557600
45,0,0,0
46,2,50,32772600
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
